"","Cell","Batch","Group","ExpLibSize"
"Cell1","Cell1","Batch1","Group1",56535.8193475771
"Cell2","Cell2","Batch1","Group3",86527.8302919392
"Cell3","Cell3","Batch1","Group3",58026.0390577505
"Cell4","Cell4","Batch1","Group4",45344.2870503145
"Cell5","Cell5","Batch1","Group1",44595.0971289613
"Cell6","Cell6","Batch1","Group3",59047.424981718
"Cell7","Cell7","Batch1","Group1",62808.6628206352
"Cell8","Cell8","Batch1","Group1",62949.2409939613
"Cell9","Cell9","Batch1","Group5",56789.9816661207
"Cell10","Cell10","Batch1","Group5",40332.7877476682
"Cell11","Cell11","Batch1","Group2",54722.2023283921
"Cell12","Cell12","Batch1","Group3",72062.7921464698
"Cell13","Cell13","Batch1","Group2",37646.8956837796
"Cell14","Cell14","Batch1","Group5",67696.2936002711
"Cell15","Cell15","Batch1","Group3",44594.7747777058
"Cell16","Cell16","Batch1","Group5",57307.69363117
"Cell17","Cell17","Batch1","Group4",45220.9946508901
"Cell18","Cell18","Batch1","Group5",70553.4375837523
"Cell19","Cell19","Batch1","Group1",53180.9083200658
"Cell20","Cell20","Batch1","Group3",65146.4934587119
"Cell21","Cell21","Batch1","Group5",51019.825847068
"Cell22","Cell22","Batch1","Group1",47257.1749062836
"Cell23","Cell23","Batch1","Group3",44271.1517550705
"Cell24","Cell24","Batch1","Group5",47515.5059698462
"Cell25","Cell25","Batch1","Group2",55772.0975710016
"Cell26","Cell26","Batch1","Group3",78991.081855184
"Cell27","Cell27","Batch1","Group3",67099.5067343333
"Cell28","Cell28","Batch1","Group2",52696.3242461586
"Cell29","Cell29","Batch1","Group3",62815.7356835907
"Cell30","Cell30","Batch1","Group1",49013.209155677
"Cell31","Cell31","Batch1","Group3",52941.492793481
"Cell32","Cell32","Batch1","Group4",61793.0413359268
"Cell33","Cell33","Batch1","Group4",102417.426811617
"Cell34","Cell34","Batch1","Group4",62686.0047540854
"Cell35","Cell35","Batch1","Group2",61086.7908863603
"Cell36","Cell36","Batch1","Group1",37778.5778215237
"Cell37","Cell37","Batch1","Group5",75748.882635005
"Cell38","Cell38","Batch1","Group5",76854.8554554617
"Cell39","Cell39","Batch1","Group2",43275.8843931205
"Cell40","Cell40","Batch1","Group5",59842.3432705091
"Cell41","Cell41","Batch1","Group4",50642.536430277
"Cell42","Cell42","Batch1","Group1",61314.4395064939
"Cell43","Cell43","Batch1","Group5",54165.4505439457
"Cell44","Cell44","Batch1","Group5",73502.0771323386
"Cell45","Cell45","Batch1","Group4",62540.0007265972
"Cell46","Cell46","Batch1","Group4",60907.7516870834
"Cell47","Cell47","Batch1","Group5",64702.4149878978
"Cell48","Cell48","Batch1","Group2",41625.5181065675
"Cell49","Cell49","Batch1","Group4",47339.0099592992
"Cell50","Cell50","Batch1","Group5",78693.929968906
"Cell51","Cell51","Batch1","Group5",62200.4631552498
"Cell52","Cell52","Batch1","Group4",64953.6121322023
"Cell53","Cell53","Batch1","Group1",45201.4382828546
"Cell54","Cell54","Batch1","Group4",92452.3664497844
"Cell55","Cell55","Batch1","Group3",53749.5968164278
"Cell56","Cell56","Batch1","Group2",65997.8572370513
"Cell57","Cell57","Batch1","Group2",56822.8379223798
"Cell58","Cell58","Batch1","Group3",72017.3771220105
"Cell59","Cell59","Batch1","Group4",49902.0621751742
"Cell60","Cell60","Batch1","Group5",72894.2841877598
"Cell61","Cell61","Batch1","Group4",73175.3568613209
"Cell62","Cell62","Batch1","Group1",51115.7491055493
"Cell63","Cell63","Batch1","Group3",42975.8360936791
"Cell64","Cell64","Batch1","Group4",64873.788787023
"Cell65","Cell65","Batch1","Group3",37436.4094097477
"Cell66","Cell66","Batch1","Group5",69292.7469501833
"Cell67","Cell67","Batch1","Group3",69636.9809581513
"Cell68","Cell68","Batch1","Group4",70102.4677677001
"Cell69","Cell69","Batch1","Group5",55914.9637277516
"Cell70","Cell70","Batch1","Group2",86229.6856445668
"Cell71","Cell71","Batch1","Group1",58126.20674742
"Cell72","Cell72","Batch1","Group3",49300.3678078542
"Cell73","Cell73","Batch1","Group1",55390.9890228536
"Cell74","Cell74","Batch1","Group3",46502.8447359277
"Cell75","Cell75","Batch1","Group3",46367.1678704167
"Cell76","Cell76","Batch1","Group4",62372.3527416675
"Cell77","Cell77","Batch1","Group1",60434.3873946186
"Cell78","Cell78","Batch1","Group1",53757.919910894
"Cell79","Cell79","Batch1","Group3",57311.8881754228
"Cell80","Cell80","Batch1","Group5",58043.0883333497
"Cell81","Cell81","Batch1","Group1",56316.8312290605
"Cell82","Cell82","Batch1","Group4",85293.8707995463
"Cell83","Cell83","Batch1","Group5",53177.5503803403
"Cell84","Cell84","Batch1","Group3",68726.2326997035
"Cell85","Cell85","Batch1","Group3",55937.1469032662
"Cell86","Cell86","Batch1","Group5",48421.4420240257
"Cell87","Cell87","Batch1","Group3",49620.798981137
"Cell88","Cell88","Batch1","Group5",61782.9377803862
"Cell89","Cell89","Batch1","Group2",53403.9802641761
"Cell90","Cell90","Batch1","Group3",61798.8415174945
"Cell91","Cell91","Batch1","Group2",64096.0596676859
"Cell92","Cell92","Batch1","Group3",69360.5043935708
"Cell93","Cell93","Batch1","Group2",48777.9855337517
"Cell94","Cell94","Batch1","Group5",78642.884043009
"Cell95","Cell95","Batch1","Group1",40821.486654906
"Cell96","Cell96","Batch1","Group5",40750.9018435945
"Cell97","Cell97","Batch1","Group5",75142.6354231689
"Cell98","Cell98","Batch1","Group4",76745.0925621491
"Cell99","Cell99","Batch1","Group4",47500.6665439377
"Cell100","Cell100","Batch1","Group1",66126.4699426281
"Cell101","Cell101","Batch1","Group5",45872.375509491
"Cell102","Cell102","Batch1","Group5",82332.8720219249
"Cell103","Cell103","Batch1","Group3",60620.6950478028
"Cell104","Cell104","Batch1","Group3",58151.7253276848
"Cell105","Cell105","Batch1","Group1",55896.2651722018
"Cell106","Cell106","Batch1","Group5",46656.4192579989
"Cell107","Cell107","Batch1","Group3",70874.5571003719
"Cell108","Cell108","Batch1","Group2",59848.6271651162
"Cell109","Cell109","Batch1","Group4",66063.796650065
"Cell110","Cell110","Batch1","Group1",50878.3768216551
"Cell111","Cell111","Batch1","Group4",54934.826994167
"Cell112","Cell112","Batch1","Group1",62774.9181260121
"Cell113","Cell113","Batch1","Group5",42156.9497588621
"Cell114","Cell114","Batch1","Group3",49485.9086344922
"Cell115","Cell115","Batch1","Group4",52798.0306343684
"Cell116","Cell116","Batch1","Group2",67007.2283717125
"Cell117","Cell117","Batch1","Group2",49481.0534438149
"Cell118","Cell118","Batch1","Group5",48102.4561511703
"Cell119","Cell119","Batch1","Group2",65010.4578886147
"Cell120","Cell120","Batch1","Group4",51367.6299923715
"Cell121","Cell121","Batch1","Group5",73228.927634232
"Cell122","Cell122","Batch1","Group1",42626.0184656814
"Cell123","Cell123","Batch1","Group4",55447.7331772623
"Cell124","Cell124","Batch1","Group4",50931.9330375699
"Cell125","Cell125","Batch1","Group2",53907.3507574223
"Cell126","Cell126","Batch1","Group5",69077.0231095316
"Cell127","Cell127","Batch1","Group4",68899.6142095413
"Cell128","Cell128","Batch1","Group4",51341.7722794343
"Cell129","Cell129","Batch1","Group3",41133.3777098195
"Cell130","Cell130","Batch1","Group3",51323.0620224201
"Cell131","Cell131","Batch1","Group4",78181.8893045485
"Cell132","Cell132","Batch1","Group4",59631.6224928598
"Cell133","Cell133","Batch1","Group2",50191.6795296833
"Cell134","Cell134","Batch1","Group2",59978.7495497004
"Cell135","Cell135","Batch1","Group5",70584.455217314
"Cell136","Cell136","Batch1","Group1",86644.5811473653
"Cell137","Cell137","Batch1","Group4",66720.135697799
"Cell138","Cell138","Batch1","Group4",49115.1331809946
"Cell139","Cell139","Batch1","Group4",94411.2391743608
"Cell140","Cell140","Batch1","Group1",60938.34372271
"Cell141","Cell141","Batch1","Group4",79555.260202437
"Cell142","Cell142","Batch1","Group5",77680.5079507972
"Cell143","Cell143","Batch1","Group5",39831.6374003312
"Cell144","Cell144","Batch1","Group3",83130.9532580904
"Cell145","Cell145","Batch1","Group3",58572.1601550679
"Cell146","Cell146","Batch1","Group5",50635.4965084649
"Cell147","Cell147","Batch1","Group4",60775.0258394491
"Cell148","Cell148","Batch1","Group2",60855.8775940384
"Cell149","Cell149","Batch1","Group5",60182.5808390338
"Cell150","Cell150","Batch1","Group2",58128.9937256464
"Cell151","Cell151","Batch1","Group1",80867.61666766
"Cell152","Cell152","Batch1","Group5",73601.3388253633
"Cell153","Cell153","Batch1","Group4",64053.3070978585
"Cell154","Cell154","Batch1","Group3",53301.1481295382
"Cell155","Cell155","Batch1","Group4",76802.9998423455
"Cell156","Cell156","Batch1","Group4",68743.030079169
"Cell157","Cell157","Batch1","Group2",55082.2969628155
"Cell158","Cell158","Batch1","Group4",54286.8225182122
"Cell159","Cell159","Batch1","Group2",57042.0345371443
"Cell160","Cell160","Batch1","Group3",58068.8248573091
"Cell161","Cell161","Batch1","Group3",64736.4080335501
"Cell162","Cell162","Batch1","Group3",71541.7293633622
"Cell163","Cell163","Batch1","Group1",62631.1275914474
"Cell164","Cell164","Batch1","Group4",42793.5073241737
"Cell165","Cell165","Batch1","Group5",64346.2480131803
"Cell166","Cell166","Batch1","Group1",74749.3613115179
"Cell167","Cell167","Batch1","Group4",46108.7040520983
"Cell168","Cell168","Batch1","Group2",41043.8109500865
"Cell169","Cell169","Batch1","Group3",70174.5251736443
"Cell170","Cell170","Batch1","Group5",55440.8722663011
"Cell171","Cell171","Batch1","Group3",66368.1929227721
"Cell172","Cell172","Batch1","Group5",57097.9219225739
"Cell173","Cell173","Batch1","Group1",84821.3115860305
"Cell174","Cell174","Batch1","Group1",76178.5725949384
"Cell175","Cell175","Batch1","Group3",68267.9037071848
